uid, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging, 
unit.000095, 782.771399975, 1430.36609983, 148.530599833, 1439.04879975, 148.953199863, 1431.35089993, 782.773200035, 148.978399754, 1438.54949975, 1430.36590004, 149.994199991, 148.402999878, 149.996199846, 149.955899954, 1430.40309978, 
unit.000096, 796.571199894, 806.84649992, 794.873399734, 823.766599894, 795.465699911, 818.590899706, 796.573400021, 795.490999937, 821.220799923, 806.845900059, 796.568099976, 794.744099855, 796.570899963, 796.518599987, 806.889699936, 
unit.000097, 805.83920002, 810.359699965, 804.365599871, 827.060799837, 804.706499815, 821.246799707, 805.841300011, 804.731699944, 824.89139986, 810.358999968, 805.836100101, 804.23699975, 805.838799953, 805.798500061, 810.37319994, 
unit.000098, 808.914199829, 813.37079978, 807.577199936, 830.380899906, 807.837799788, 824.917599916, 808.916399956, 807.863199711, 827.547299862, 813.369899988, 808.910900116, 807.448299885, 808.913800001, 808.854200125, 813.428200006, 
unit.000099, 812.071899891, 817.285099983, 810.800899744, 830.435199738, 810.916599751, 827.458499908, 812.074300051, 810.941899776, 830.07799983, 817.28429985, 812.068599939, 810.669499874, 812.07159996, 812.008100033, 817.320499897, 
unit.000153, 942.8829, 944.365899801, 942.201899767, 948.94209981, 942.616999865, 945.85559988, 942.884399891, 942.642299891, 945.880899906, 944.366100073, 942.880800009, 942.073499918, 942.882599831, 942.859499931, 944.42629981, 
unit.000152, 939.898999929, 941.56009984, 938.859999895, 945.480299711, 939.48609972, 942.165899754, 939.900599957, 939.511299849, 942.191399813, 941.559999943, 939.897000074, 938.73239994, 939.898799896, 939.887000084, 941.597599983, 
unit.000155, 956.296200037, 957.792499781, 956.052099943, 962.627199888, 956.062799931, 959.314199924, 956.297800064, 956.087999821, 959.339399815, 957.792599916, 956.29399991, 955.924099922, 956.295899868, 956.285000086, 957.809299946, 
unit.000154, 942.89139986, 944.265399933, 942.335399866, 948.992899895, 942.667899847, 945.90659976, 942.894899845, 942.69299984, 945.931899786, 944.265399933, 942.889400005, 942.207699776, 942.891199827, 942.881500006, 944.32949996, 
unit.000157, 984.138000011, 985.743899822, 983.173199892, 989.867099762, 983.859799862, 986.764399767, 984.139699936, 983.884999752, 986.789699793, 985.743799925, 984.135699987, 983.045299768, 984.137799978, 984.126300097, 985.787599802, 
unit.000156, 965.576400042, 977.131199837, 962.962899923, 982.993299723, 963.285699844, 978.920199871, 965.582000017, 963.311199903, 981.604499817, 977.127099991, 965.569800138, 962.728999853, 965.575599909, 963.519000053, 977.163299799, 
unit.000032, 130.947099924, 133.588199854, 129.676699877, 136.354199886, 129.925599813, 135.363599777, 131.032999992, 129.950699806, 135.38869977, 133.304899931, 130.944499969, 129.549299717, 130.946799994, 130.902899981, 133.591399908, 
unit.000033, 137.038599968, 139.825999975, 135.89779973, 143.749699831, 136.084199905, 140.534499884, 137.040400028, 136.109199762, 140.559699774, 139.825799942, 137.036099911, 135.769299746, 137.038300037, 136.989200115, 139.834299803, 
unit.000030, 123.965600014, 133.934499979, 111.998399734, 135.788899899, 112.117999792, 135.058999777, 124.298300028, 112.143299818, 135.083999872, 133.809700012, 123.96359992, 111.259199858, 123.965399981, 123.95600009, 133.984799862, 
unit.000031, 123.990399837, 134.393999815, 112.074099779, 135.839899778, 112.219599724, 135.14779973, 124.326900005, 112.244999886, 135.172899723, 133.813999891, 123.988500118, 111.260499716, 123.990200043, 123.981300116, 134.497199774, 
unit.000036, 138.057799816, 139.927399874, 136.296299934, 143.597499847, 137.162399769, 140.596699715, 138.059499979, 137.187499762, 140.621899843, 139.927599907, 138.055299997, 136.169199944, 138.057499886, 138.024500132, 139.940299988, 
unit.000037, 138.087999821, 140.028199911, 136.428699732, 143.648199797, 137.213099718, 140.636199713, 138.08949995, 137.238399744, 140.661299706, 140.028300047, 138.085700035, 136.301099777, 138.08769989, 138.056299925, 140.051699877, 
unit.000034, 137.093799829, 139.853899956, 136.032599926, 143.698899746, 136.135299921, 140.585399866, 137.095299959, 136.160999775, 140.610499859, 139.826900005, 137.091399908, 135.905399799, 137.093499899, 137.037100077, 139.915999889, 
unit.000035, 137.121799946, 139.8349998, 136.16449976, 144.10559988, 136.186499834, 140.545999765, 137.123399973, 136.211599827, 140.571099758, 139.826400042, 137.119400024, 136.037399769, 137.121599913, 137.092400074, 139.853099823, 
unit.000133, 896.069700003, 905.218499899, 892.587299824, 910.340599775, 893.116999865, 906.10319972, 896.074100018, 893.142199755, 908.771899939, 905.165400028, 896.06400013, 892.377899885, 896.069099903, 894.153199911, 905.252999783, 
unit.000132, 890.85010004, 892.294299841, 889.125699759, 895.82439971, 889.965799809, 892.973699808, 890.853499889, 889.990899801, 892.998899937, 892.232599974, 890.848099947, 888.997899771, 890.849900007, 890.84010005, 892.347799778, 
unit.000038, 138.23029995, 140.464199781, 136.563299894, 144.616099834, 137.263599873, 140.788199902, 138.231899977, 137.288699865, 140.813299894, 140.431900024, 138.227999926, 136.435199738, 138.230099916, 138.171000004, 140.525999784, 
unit.000039, 138.279199839, 140.329399824, 136.698999882, 144.870099783, 137.263999939, 140.6474998, 138.280799866, 137.289099932, 140.672599792, 140.32949996, 138.276900053, 136.570799828, 138.278899908, 138.228899956, 140.337299824, 
unit.000137, 904.690399885, 913.794399977, 903.611499786, 924.515799761, 904.164999723, 920.588999748, 904.695299864, 904.190199852, 923.297599792, 913.791599989, 904.684700012, 903.401499748, 904.689699888, 904.4296, 913.819299936, 
unit.000136, 901.257099867, 902.958099842, 899.630999804, 906.930699825, 900.335399866, 903.948899746, 901.258699894, 900.360599756, 903.974299908, 902.958099842, 901.254699945, 899.503099918, 901.256799936, 901.245899916, 903.011099815, 
unit.000135, 901.473700047, 910.885999918, 899.497399807, 920.906499863, 900.403799772, 917.82529974, 901.479599953, 900.429399729, 920.512599707, 910.88319993, 901.467900038, 899.3118999, 901.472999811, 901.258300066, 910.932499886, 
unit.000134, 897.399999857, 906.172899961, 896.026799917, 921.009999752, 896.177199841, 915.072299719, 897.404500008, 896.202599764, 917.743499756, 906.170099974, 897.394200087, 895.834399939, 897.39929986, 897.167599916, 906.201099873, 
unit.000090, 148.898999929, 839.766699791, 147.133699894, 847.496999741, 147.824199915, 839.928599834, 148.900699854, 147.849599838, 845.012499809, 839.766200066, 148.896300077, 147.006299734, 148.898599863, 148.807500124, 839.807399988, 
unit.000091, 148.943099976, 878.789899826, 147.266999722, 885.289299726, 147.825099707, 878.887399912, 148.9447999, 147.850199938, 884.029399872, 878.789700031, 148.940400124, 147.13929987, 148.942699909, 148.897500038, 878.824799776, 
unit.000148, 925.279000044, 926.8829, 924.886999846, 931.578099728, 924.994099855, 928.201699734, 925.280400038, 925.019199848, 928.226799726, 926.821899891, 925.276900053, 924.758999825, 925.278699875, 925.268199921, 926.891499996, 
unit.000149, 930.040400028, 931.436100006, 928.378299713, 934.993699789, 929.151299715, 934.398199797, 930.04460001, 929.176599741, 934.423499823, 931.43599987, 929.923500061, 928.250599861, 930.03309989, 929.477600098, 931.444599867, 
unit.000146, 922.119599819, 923.546000004, 921.429799795, 928.033199787, 921.864499807, 925.339799881, 922.123800039, 921.889499903, 925.364999771, 923.514999866, 922.1177001, 921.302399874, 922.119400024, 922.109300137, 923.578799963, 
unit.000147, 925.602699995, 937.654699802, 924.753399849, 941.954299927, 925.062099934, 938.375899792, 925.608099937, 925.087499857, 941.112499714, 937.651299953, 925.596400023, 924.520799875, 925.601899862, 925.280100107, 937.663199902, 
unit.000144, 922.48759985, 933.84499979, 921.161599874, 942.055899858, 921.88139987, 935.985799789, 922.493099928, 921.906699896, 938.641299725, 933.841599941, 922.481300116, 920.93329978, 922.486799955, 922.120800018, 933.85739994, 
unit.000145, 922.110899925, 923.518299818, 921.297499895, 928.084599733, 921.813499928, 925.286499739, 922.112400055, 921.838799715, 925.311799765, 923.514400005, 922.10860014, 921.167599916, 922.110599995, 922.099499941, 923.545399904, 
unit.000142, 918.235499859, 929.932599783, 917.586999893, 935.045299768, 917.655299902, 931.601599932, 918.240400076, 917.680799723, 934.371999741, 929.92930007, 918.22939992, 917.355499744, 918.234799862, 917.944100142, 929.99579978, 
unit.000143, 919.388700008, 929.999300003, 917.79919982, 938.485899925, 918.737999916, 934.499299765, 919.39380002, 918.763299942, 937.221199751, 929.931499958, 919.382499933, 917.598899841, 919.388000011, 919.081799984, 930.0072999, 
unit.000140, 911.657799959, 913.289599895, 910.574899912, 917.369399786, 911.394399881, 914.971099854, 911.659399986, 911.419699907, 914.996299744, 913.289399862, 911.655600071, 910.446699858, 911.657599926, 911.646700144, 913.295399904, 
unit.000141, 911.940500021, 921.257799864, 910.807199717, 928.136099815, 911.451299906, 923.373399734, 911.945499897, 911.476399899, 926.12229991, 921.208199978, 911.934499979, 910.594799757, 911.939800024, 911.658699989, 921.315599918, 
unit.000128, 883.572199821, 884.936499834, 882.082299709, 888.746299744, 882.650799751, 886.043799877, 883.575500011, 882.67599988, 886.069099903, 884.907999992, 883.569800138, 881.953699827, 883.572000027, 883.560199976, 884.966199875, 
unit.000129, 886.953099966, 895.943699837, 885.585999727, 906.826399803, 885.829999924, 901.219599724, 886.957399845, 885.855199814, 904.485999823, 895.941099882, 886.947600126, 885.365899801, 886.952399969, 886.736200094, 895.967000008, 
unit.000045, 139.381599903, 141.335399866, 137.505899906, 144.920799732, 138.445599794, 141.865499735, 139.38319993, 138.470799923, 141.890699863, 141.335299969, 139.379300117, 137.378299713, 139.381299973, 139.35070014, 141.343799829, 
unit.000044, 138.53399992, 140.526699781, 137.373699903, 143.851299763, 137.417799711, 140.79949975, 138.53550005, 137.443399906, 140.824599743, 140.432399988, 138.531700134, 137.246799707, 138.533699989, 138.503700018, 140.562299967, 
