uid, cores, executable, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging,
unit.000050, 1, gmx grompp, 750.275300026, 752.119600058, 749.208199978, 755.911999941, 750.049999952, 752.781099796, 750.276199818, 750.075199842, 752.805999994, 752.105199814, 750.271399975, 749.079999924, 750.274999857, 750.245399952, 752.173300028
unit.000051, 1, gmx grompp, 750.317399979, 752.220299959, 749.341199875, 755.861399889, 750.100600004, 752.831399918, 750.31829977, 750.125799894, 752.856399775, 752.206099987, 750.316599846, 749.214199781, 750.317100048, 750.278899908, 752.283699989
unit.000083, 1, python, 1120.58010006, 1121.89600015, 1119.37969995, 1125.5862999, 1120.06040001, 1123.19719982, 1120.58099985, 1120.0855999, 1123.99689984, 1121.88649988, 1120.58060002, 1119.24689984, 1120.57979989, 1120.57209992, 1121.90740013
unit.000082, 4, gmx mdrun, 1114.31819987, 1548.25090003, 1113.00499988, 1551.52939987, 1113.84569979, 1548.61029983, 1114.31889987, 1113.87079978, 1548.63519979, 1548.24429989, 1114.31869984, 1112.87779999, 1114.31789994, 1114.27109981, 1548.3131001
unit.000081, 8, gmx mdrun, 1115.67659998, 1409.02049994, 1106.73519993, 1410.71379995, 1107.6869998, 1410.14829993, 1115.67719984, 1107.71209979, 1410.17339993, 1409.0138998, 1108.2967999, 1106.60769987, 1108.29589987, 1108.25199986, 1409.02400017
unit.000080, 1, gmx grompp, 1107.14949989, 1109.05770016, 1106.60099983, 1112.84200001, 1106.61079979, 1109.80189991, 1107.15029979, 1106.63589978, 1109.82789993, 1109.05079985, 1107.14999986, 1106.47249985, 1107.14919996, 1107.1230998, 1109.09010005
unit.000087, 1, gmx grompp, 1146.20700002, 1148.27509999, 1144.89459991, 1151.07409978, 1145.82449985, 1149.57309985, 1146.20799994, 1145.84979987, 1149.59829998, 1148.24829984, 1146.20739985, 1144.76699996, 1146.20670009, 1146.18449998, 1148.32529998
unit.000086, 1, python, 1140.37689996, 1141.64240003, 1138.52699995, 1144.7033999, 1138.58819985, 1142.6072998, 1140.37769985, 1138.61349988, 1143.38819981, 1141.6329999, 1140.37739992, 1138.39999986, 1140.37660003, 1138.98210001, 1141.66690016
unit.000085, 4, gmx mdrun, 1134.5230999, 1546.34599996, 1132.15989995, 1548.28269982, 1132.4289, 1547.53289986, 1134.52459979, 1132.45409989, 1547.55799985, 1546.33929992, 1132.87129998, 1132.0323, 1132.87050009, 1132.83099985, 1546.40140009
unit.000084, 1, gmx grompp, 1126.74900007, 1128.71309996, 1125.74549985, 1131.95889997, 1126.22159982, 1129.1552999, 1126.74989986, 1126.24669981, 1129.18139982, 1128.70259976, 1126.7493, 1125.61829996, 1126.7486999, 1126.7256, 1128.72530007
unit.000089, 1, python, 1155.48070002, 1156.67250013, 1153.92009997, 1160.08079982, 1154.56999993, 1157.35619998, 1155.48139977, 1154.59529996, 1158.14459991, 1156.66579986, 1155.48140001, 1153.79279995, 1155.48040009, 1155.47679996, 1156.70290017
unit.000088, 8, gmx mdrun, 1395.68840003, 1703.65900016, 1151.25919986, 1704.9520998, 1151.43939996, 1703.99299979, 1395.68909979, 1151.46469998, 1704.01829982, 1703.65279984, 1152.4763, 1151.1322, 1152.47539997, 1152.43959999, 1703.68640018
unit.000029, 8, gmx mdrun, 725.2421, 1097.93040013, 133.875999928, 1099.9908998, 134.292399883, 1098.73919988, 725.242799997, 134.317499876, 1098.76440001, 1097.92379999, 135.116799831, 133.748899937, 135.115700006, 135.099999905, 1097.96270013
unit.000028, 8, gmx mdrun, 512.199800014, 861.676900148, 133.741499901, 865.666799784, 134.248899937, 862.442799807, 512.200499773, 134.29309988, 862.467999935, 861.670299768, 135.09920001, 133.611199856, 135.098200083, 135.04399991, 861.728899956
unit.000025, 8, gmx mdrun, 499.072400093, 839.722599983, 133.304299831, 840.220199823, 134.343199968, 839.590799809, 499.073099852, 134.368299961, 839.615799904, 839.715899944, 135.027599812, 133.177399874, 135.02670002, 134.971199989, 839.728899956
unit.000024, 8, gmx mdrun, 430.325799942, 728.650599957, 133.170599937, 730.12319994, 134.145899773, 729.788800001, 430.326499939, 134.172899961, 729.813899994, 728.643899918, 134.841499805, 133.042599916, 134.840600014, 134.825599909, 728.706700087
unit.000027, 8, gmx mdrun, 503.381599903, 826.189100027, 133.604099989, 830.662699938, 134.223199844, 827.397300005, 503.3822999, 134.24819994, 827.422599792, 826.182499886, 135.043299913, 133.464099884, 135.042200089, 135.028399944, 826.194700003
unit.000026, 8, gmx mdrun, 470.316900015, 817.170200109, 133.457599878, 821.159999847, 134.198399782, 818.107999802, 470.317699909, 134.223499775, 818.133099794, 817.15749979, 134.872099876, 133.310499907, 134.870899916, 134.859099865, 817.23029995
unit.000021, 8, gmx mdrun, 133.826999903, 503.382500172, 132.676999807, 506.074599981, 133.018299818, 504.791999817, 133.827599764, 133.043399811, 504.816999912, 503.375799894, 133.827899933, 132.549099922, 133.826699972, 133.787999868, 503.386399984
unit.000020, 8, gmx mdrun, 133.786499977, 499.07310009, 132.54279995, 502.914999962, 132.974199772, 500.676999807, 133.787099838, 132.999599934, 500.702199936, 499.066499949, 133.787299871, 132.407999992, 133.786200047, 133.726999998, 499.080500126
unit.000023, 8, gmx mdrun, 133.938999891, 429.120500088, 133.036099911, 430.343400002, 133.068799973, 430.023699999, 133.939599991, 133.094099998, 430.048999786, 429.113899946, 133.939800024, 132.90929985, 133.938799858, 133.88929987, 429.146700144
unit.000022, 8, gmx mdrun, 133.887899876, 430.323800087, 132.903999805, 434.090799809, 133.024999857, 431.101199865, 133.888499975, 133.05009985, 431.126499891, 430.31709981, 133.888499975, 132.777099848, 133.887599945, 133.828499794, 430.38830018
unit.000065, 1, python, 822.501499891, 825.18900013, 821.326499939, 827.476799965, 821.583799839, 825.583099842, 822.502299786, 821.609099865, 826.372699976, 825.179699898, 822.502199888, 821.198199987, 822.501199961, 822.496199846, 825.244400024
unit.000090, 1, gmx grompp, 1161.73900008, 1163.68499994, 1160.29409981, 1166.4533999, 1160.72839999, 1163.3039, 1161.73979998, 1160.75349998, 1163.329, 1163.67819977, 1161.73949981, 1160.16009998, 1161.73869991, 1161.71889997, 1163.7198
